Stock ID,Serial Number,Factory,Picture,Comment,Mac address,Type,Atex Environment,Sensor data Status
WMBE0111843_Cargill US Sioux City Crush 1AAG_67fd9909,WMBE0111843,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111843_Cargill US Sioux City C_16849131153987275032.Picture.195300.jpg,,E126021400CC,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111829_Cargill US Sioux City Crush 1AAG_44f61c66,WMBE0111829,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111829_Cargill US Sioux City C_16018757171879485238.Picture.195319.jpg,,E12602BACB3F,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111833_Cargill US Sioux City Crush 1AAG_0f224f88,WMBE0111833,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111833_Cargill US Sioux City C_17050581472514243943.Picture.195338.jpg,,E12602BABE0B,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111846_Cargill US Sioux City Crush 1AAG_7e6ee426,WMBE0111846,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111846_Cargill US Sioux City C_16895895899370484301.Picture.195355.jpg,,E12602140A18,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111861_Cargill US Sioux City Crush 1AAG_11644065,WMBE0111861,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111861_Cargill US Sioux City C_4859725239292240155.Picture.195423.jpg,,E12602BAD10A,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111828_Cargill US Sioux City Crush 1AAG_5bb0c1a1,WMBE0111828,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111828_Cargill US Sioux City C_8756475285730376864.Picture.195438.jpg,,E12602BACE4A,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111847_Cargill US Sioux City Crush 1AAG_6431feab,WMBE0111847,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111847_Cargill US Sioux City C_3108907203129343376.Picture.195455.jpg,,E12602BACAEC,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111839_Cargill US Sioux City Crush 1AAG_3d32a6ba,WMBE0111839,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111839_Cargill US Sioux City C_1035924434021098197.Picture.195523.jpg,,E12602BACEF0,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111838_Cargill US Sioux City Crush 1AAG_6f356814,WMBE0111838,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111838_Cargill US Sioux City C_8320968155024690195.Picture.195540.jpg,,E12602BABDF0,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111836_Cargill US Sioux City Crush 1AAG_30bdcb6e,WMBE0111836,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111836_Cargill US Sioux City C_5694972138605495935.Picture.195555.jpg,,E12602BAD75B,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111854_Cargill US Sioux City Crush 1AAG_e55b482f,WMBE0111854,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111854_Cargill US Sioux City C_15297851785019522427.Picture.195614.jpg,,E12602BACB38,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111866_Cargill US Sioux City Crush 1AAG_a653a426,WMBE0111866,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111866_Cargill US Sioux City C_16508557967231857317.Picture.195630.jpg,,E12602BACEE1,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111842_Cargill US Sioux City Crush 1AAG_af43d927,WMBE0111842,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111842_Cargill US Sioux City C_1699410638517572371.Picture.195647.jpg,,E1260214081D,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0111835_Cargill US Sioux City Crush 1AAG_89debf84,WMBE0111835,Cargill US Sioux City Crush 1AAG,Cargill/Cargill US Sioux City Crush 1AAG/Stock files/WMBE0111835_Cargill US Sioux City C_16562013239018054827.Picture.195706.jpg,,E12602BAC581,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
